Claim ID,Claimant Name,Claimant Address,Claimant Phone,Claimant Email,Policy Number,Policy Type,Policyholder Name,Policyholder Contact,Date of Loss,Location of Loss,Description of Loss,Claim Amount,Police Report,Medical Records,Photographs or Evidence,Witness Information,Adjuster Notes,Claim Status,Payment Information,Inconsistencies,Previous Claims,Suspicious Behavior,Patterns of Fraud,Investigation Results,Claim Outcome,Investigation Outcome,Additional Comments
6709,Eva Rajagopal,"394, Bhandari Circle, Ongole 680642",+916019445517,ratikala@example.org,97018,Auto,Onkar Lad,3554148865,1974-06-27,Bikaner,"Voluptas deleniti sit sed voluptatum libero. Asperiores nostrum quidem dignissimos quod excepturi molestiae.
Amet laborum adipisci. Repudiandae nihil iusto quia.
Qui minima ut quia animi asperiores.",30735.78,8891,Sunt illo perspiciatis. Esse perferendis harum libero corrupti. Omnis non assumenda fugit similique nostrum.,,Dishani Agrawal,"Eius ipsa aperiam dolor laboriosam sit. Aliquid assumenda temporibus delectus.
Eaque quam explicabo dolorem. Ut culpa ea hic tenetur nesciunt tenetur.",Denied,31573.91,No,3 or more,Yes,No,,Under Review,,"Nostrum accusantium quod.
Aperiam ex nisi ut vitae ipsa ut. Neque voluptatem expedita laudantium dolore corrupti corporis. Quam quasi maxime necessitatibus eos esse dolore necessitatibus."
9097,Stuvan Boase,"351, Raman, Siwan 624567",3824011160,wgokhale@example.org,47652,Home,Kismat Kale,4470871731,1958-02-07,Karnal,Vitae explicabo amet eius in id. Quas ad vero repudiandae saepe. Culpa distinctio soluta maiores.,21414.97,,"Reprehenderit debitis repellat illo suscipit dolore explicabo.
Mollitia aperiam omnis doloribus. Architecto quisquam placeat blanditiis quos accusamus.",,Zara Aggarwal,"Est eveniet quia animi incidunt. Quae fugit numquam iusto quos corporis modi. Dolorem delectus exercitationem esse magnam deleniti molestias.
Blanditiis iste sed occaecati voluptas error.",Denied,,,1,,No,,Approved,,"Facilis cum quibusdam possimus ad at esse deserunt. Enim consequuntur voluptatum incidunt. Necessitatibus nesciunt iusto id tenetur at.
Voluptas earum iste nulla commodi.
Amet culpa enim magnam."
3832,Ela Sachdeva,"69/13, Varughese Chowk, Nagaon 734817",112269938,advikbhargava@example.com,60324,Health,Aayush Hora,9036959444,1989-11-06,Katni,"Natus a praesentium culpa quisquam ullam quas. Necessitatibus alias aut possimus adipisci.
Magnam natus beatae esse esse delectus. Sit eum ullam et eius amet laborum.",17072.55,5997,Ut eius vel vero quia. Dolorum autem modi quo sint. Minima modi magni minima soluta in. Omnis facere reiciendis incidunt.,https://www.chander.com/,Kiara Datta,"Eveniet culpa odit expedita maxime incidunt. Nulla atque placeat voluptatum.
Dolores modi a unde. Repellat error corporis ad asperiores optio.",Approved,39347.74,No,None,No,No,Maiores porro vitae rem.,Approved,Fraud Detected,Provident vero possimus unde. Ipsam occaecati expedita voluptatibus. Ducimus non deleniti ipsam modi.
5085,Ranbir Bora,"90/42, Shanker Zila, Jorhat 926479",1622278059,hkalla@example.org,60001,Home,Aayush Cheema,5034156310,1993-01-02,Salem,Doloremque atque maiores praesentium similique eveniet. Labore ad nam dolores voluptatum dolorem similique recusandae. Minus laborum ut animi.,35554.94,,,,Kartik Ghose,Nihil atque error ad. Rem explicabo velit aliquam veniam. Reiciendis distinctio itaque perferendis soluta.,Denied,15961.57,Yes,3 or more,No,No,"Alias quod eos omnis reprehenderit corrupti quasi illo. Exercitationem animi veritatis enim autem.
Iste sequi quo enim. Dicta esse maiores debitis reiciendis illo deleniti.",Denied,,"Alias porro optio consequuntur sit.
Laudantium quo nobis quod voluptatem sit voluptatibus. Voluptas ipsam magnam dolores ipsum. Dolorum possimus aliquam explicabo laboriosam ratione voluptatum."
5896,Jivika Chaudhuri,"796, Baral Chowk, Bhind-532099",3546525129,rohandeo@example.com,13753,Home,Suhana Batta,80966898,1974-11-26,Kamarhati,Ut possimus nihil provident. Non nihil in nisi accusamus quasi. Consequuntur distinctio a exercitationem.,10378.09,2953,Similique vero eaque quasi nihil odit sit. Iure odit aperiam consectetur. Ducimus pariatur rerum saepe quam laborum.,http://goyal.com/,Farhan Madan,Mollitia dolore debitis nulla ullam consequuntur quam. Minus exercitationem sunt consequuntur debitis nihil ad.,Denied,20765.1,Yes,None,,No,,Approved,No Fraud Detected,Voluptatum id aliquid ex reprehenderit. Rem labore id autem aliquam aliquam quisquam. Neque ipsa rerum ullam. Quisquam dolores excepturi natus tenetur sed.
9607,Saksham Vig,"H.No. 49, Raja Ganj, Adoni-888116",6026101820,sarakunda@example.net,33893,Health,Drishya Edwin,3859785830,1985-03-11,Nashik,Voluptas doloremque tempora nemo incidunt exercitationem occaecati distinctio. Iusto sapiente vero quam impedit atque earum. Aspernatur asperiores minima natus at ullam delectus asperiores.,27394.44,4603,,,Ivana Lad,"Enim sit eveniet ipsa illum aperiam porro.
Occaecati dolores accusantium voluptatum omnis pariatur. Aspernatur magnam neque nobis. Possimus nostrum ad sequi sapiente repudiandae.",Approved,,No,None,No,No,,Approved,,Tenetur ipsa eum quibusdam in dolorem id. Dignissimos consectetur quibusdam error fugit natus.
5262,Pari Bail,"99/179, Dube Chowk, Noida 422352",+916601552800,pgaba@example.net,20409,Auto,Parinaaz Hans,6788736439,1968-11-21,Raebareli,Beatae voluptas unde deserunt nulla a porro architecto. Dicta tempore modi assumenda eveniet numquam nisi esse.,32423.64,,,https://www.kala.com/,Rhea Tank,Dolores distinctio necessitatibus provident quam eaque. Ea deserunt nam ratione ratione mollitia illum. Reprehenderit nobis beatae consequuntur.,Denied,36079.09,No,3 or more,Yes,,,Approved,No Fraud Detected,Nam labore fugit tempore. Voluptas magnam dignissimos rem. Similique ut expedita quisquam excepturi iusto ea a.
9073,Bhavin Chandra,"43, Subramaniam Road, Bhiwandi-311947",8086388582,jbera@example.org,87219,Home,Baiju Shan,1994721008,1989-08-19,Agartala,Hic nobis quam itaque velit a. Porro cumque exercitationem sunt quibusdam voluptatem at. A illum mollitia nemo.,14050.17,2537,"Maxime aliquid quas facere itaque. Distinctio cupiditate explicabo.
Enim repellendus aspernatur explicabo veritatis facilis reiciendis ipsa. Dolor sunt harum earum sunt voluptatibus autem.",,Divij Yohannan,"Assumenda molestiae soluta ullam. Facere sequi facere tempore corrupti.
Praesentium et ipsam recusandae ipsa recusandae vitae. Architecto blanditiis rerum eaque blanditiis quia error.",Approved,,No,3 or more,,Yes,"Vero facilis sint expedita non. Veritatis porro nihil quidem.
Omnis quibusdam minima pariatur sequi ipsum. Voluptatem odit unde. Autem cum assumenda nam incidunt qui.",Under Review,No Fraud Detected,Neque culpa numquam facere eligendi labore. Molestiae blanditiis sunt veritatis. Neque non nihil vitae officiis.
2359,Manjari Shah,"11, Goyal, Imphal 399169",5372330789,alisha14@example.net,67451,Auto,Jivika Kamdar,2470347879,1993-04-13,Vijayawada,Accusantium officiis mollitia corrupti accusantium porro. Dolorem sapiente reprehenderit sapiente quidem dolor quaerat.,1238.41,2234,"Similique explicabo magni. Fugit praesentium doloremque sit ab.
Cum numquam deserunt magni vel. Laudantium quas illo nobis explicabo ullam.",,Ayesha Badal,Nemo et occaecati dolor fugiat sed eum. Velit perferendis tempora rerum.,Under Investigation,19555.19,,1,Yes,Yes,"Explicabo consequuntur praesentium accusamus beatae. Veritatis optio dolore eligendi.
Omnis hic eum aliquam. Ducimus voluptatibus unde quae temporibus.",Under Review,,Ea quo commodi voluptates. Exercitationem illum quidem assumenda. Omnis beatae corporis aperiam voluptates officiis.
9181,Baiju Ramachandran,"61/28, Shetty Zila, Kochi 055641",+915753963737,gandra@example.org,14924,Auto,Shanaya Koshy,+917733864674,1975-02-20,Mango,Itaque culpa dolor iure. Officiis tempora natus odit amet dignissimos. Itaque placeat officiis recusandae totam.,1872.07,,,https://www.baria-date.com/,Tara Sekhon,"Sed nihil odit optio voluptatem. Nisi culpa atque eaque suscipit.
Rerum tempore rerum rem optio. Perspiciatis minus velit eligendi laboriosam. Assumenda molestias sint aperiam atque maiores minima.",Under Investigation,37414.37,No,None,Yes,,,Denied,,"Quae suscipit commodi aut recusandae. Cumque dolores atque quae iste nemo officia.
Enim est fugit ad."
6428,Darshit Varty,"604, Gola Nagar, Hindupur 416025",1431839035,nirvi72@example.com,96736,Home,Nitara Iyengar,+914207711311,1977-07-29,Jalgaon,"Accusamus deleniti officiis adipisci. Sapiente voluptas illo ad.
Distinctio sint aspernatur eos laboriosam.
Recusandae sapiente ratione odit ullam odit.",33779.84,,,,Hansh Ramakrishnan,"Nemo quibusdam natus. Voluptatibus mollitia possimus eum cum.
Asperiores magni hic nemo autem dolores dolores. Quod repellendus porro nihil aliquid provident architecto.",Under Investigation,,Yes,None,Yes,,"Odio maxime sed labore. Fugit similique ullam ducimus iusto.
Fugit delectus quia labore culpa molestias. Aliquam nisi ab maiores expedita quam.",Approved,,Voluptate eaque fuga a explicabo quisquam voluptatem. Inventore ipsum alias architecto facere vel.
5143,Jiya Kala,"183, Mani Chowk, Bardhaman-051636",+917389634749,bobalishita@example.com,97501,Health,Zain Suri,+917556787211,1982-05-08,Bidar,"Quas culpa reprehenderit cum dolor. Sit quis iusto veniam quo natus possimus doloribus.
Similique incidunt delectus eaque quas. Repellat corrupti a quibusdam.",25515.08,,Optio modi ad consequuntur occaecati laboriosam unde. Dolore iure nemo doloribus nulla eligendi libero architecto. Enim distinctio quas voluptates molestiae provident doloremque.,http://www.sheth.com/,Badal Gala,Voluptatem similique esse accusamus maiores saepe quam. Adipisci voluptatibus aliquid vel neque.,Under Investigation,11362.43,No,2,No,Yes,Aut provident expedita labore saepe corporis iure. Quae in voluptas aperiam expedita.,Approved,,Non voluptates accusamus necessitatibus distinctio reprehenderit assumenda. Facere laudantium aperiam eaque voluptas optio modi enim.
9612,Kashvi Sehgal,"09/588, Basak Marg, Phagwara-806602",3513120702,gsarna@example.net,81796,Auto,Tarini Shankar,6342529435,1989-05-04,Vijayawada,"Fugiat sit explicabo. Perspiciatis recusandae eaque eos.
Rem quos quia quis. Excepturi consequuntur earum inventore ipsum. Unde beatae maiores enim repellendus iusto.",19998.64,7302,,,Ryan Sen,Voluptatem eaque asperiores magnam eligendi maiores. Accusamus natus alias est aut sint.,Under Investigation,,No,1,No,No,,Denied,Fraud Detected,Perferendis nostrum in rem. Ad excepturi aspernatur officiis veritatis libero. Esse perspiciatis suscipit.
1484,Vardaniya Keer,"H.No. 265, Dass Path, Kishanganj 829336",966638007,hanshdevi@example.com,17528,Auto,Nehmat Madan,+910185597525,1995-09-05,Malegaon,Necessitatibus blanditiis quia commodi veritatis a. Animi blanditiis tempora culpa alias aperiam aspernatur.,27739.77,2766,"Vitae amet rem perspiciatis corrupti. Totam fuga nulla aspernatur assumenda. Magni quo dolorem fuga.
Corrupti ipsum ullam alias dignissimos expedita. Assumenda aliquam et.",http://anne.com/,Kiara Korpal,Autem quia quidem voluptatibus placeat tenetur a. Eum accusantium praesentium vel consectetur unde.,Denied,,Yes,3 or more,Yes,No,,Denied,No Fraud Detected,"Nisi aut blanditiis earum pariatur consequatur error illum. Rerum nostrum possimus omnis odit.
Ab repellat officia architecto iste. Ex eos nihil minus."
6049,Hridaan Halder,"81/48, Agrawal Zila, Amroha-480680",8590047046,vkrishnan@example.com,39222,Home,Lavanya Koshy,+916261860575,1983-02-21,Aizawl,Nisi iure molestias incidunt doloremque neque. Voluptatum sint quae ratione. Ut quia officiis.,31023.08,,Maiores laboriosam reprehenderit unde nam quos minima ullam. Repudiandae cupiditate ab libero tempora quam. Eos cupiditate sit perferendis commodi quae.,http://chaudhary-chaudhary.com/,Tanya Lad,Debitis laudantium vero quisquam. Velit exercitationem exercitationem possimus ex. Cumque molestiae eos quibusdam modi. In quaerat tenetur odio inventore sit quo.,Denied,,,3 or more,,,,Denied,,"Consequuntur atque atque eaque aut. Perferendis quas nostrum. Velit temporibus incidunt optio voluptatibus minima est ab.
Quidem architecto voluptas dicta omnis."
1625,Umang Sanghvi,"803, Warrior Nagar, Thiruvananthapuram-967430",2871184765,adah63@example.net,67394,Health,Charvi Basak,+916411467794,1983-08-03,Suryapet,"Quae eum enim nulla exercitationem suscipit veritatis. Consequatur odio corporis officiis.
Quaerat aliquid doloribus doloribus iure enim. Voluptate ratione recusandae accusamus quasi sint odio.",27960.77,,,https://edwin.com/,Tara Lal,"Modi dolor quam atque explicabo odit nemo.
Vero ducimus voluptate pariatur reprehenderit illum cumque. Iusto blanditiis sit ullam necessitatibus aliquam natus. Debitis neque atque odit sunt.",Under Investigation,,,None,No,No,,Approved,Fraud Detected,Cumque veritatis provident provident maxime voluptas ducimus. Fuga perferendis commodi nostrum. Similique esse magni facere sunt consectetur temporibus.
8658,Trisha Gole,"H.No. 732, Arya Road, Ramagundam-016704",5893585316,trisha56@example.org,81554,Auto,Diya Lala,4219570911,1996-10-01,Bahraich,"Itaque architecto tenetur veniam. Saepe blanditiis expedita culpa unde. Sit sunt sit expedita ut distinctio.
Laboriosam tempora rerum.
Aspernatur dolorem fugit eaque distinctio.",30174.57,,,https://www.shankar.com/,Jivika Bir,"Optio autem dolore tempore voluptatem mollitia totam placeat. Quidem nemo vitae fugiat.
Laudantium veniam sunt expedita asperiores. Voluptas expedita aliquid tenetur veniam minima maxime.",Approved,,Yes,None,No,,,Approved,Fraud Detected,Deserunt ea non omnis dolorum. Repellendus tempora repudiandae qui dicta possimus consequuntur. Distinctio ab possimus inventore provident.
1098,Anahita Bhat,"873, Vala Nagar, Bhiwani 747956",+914617774718,madhavvig@example.net,77070,Auto,Khushi Thakkar,9645851327,1993-08-20,Dehri,"Mollitia ab officiis optio dolorem ea nemo. Distinctio molestias unde temporibus id maiores.
Quasi et fuga in veritatis.",28703.75,,"Soluta ad est minima possimus. Aspernatur corrupti maiores consequuntur nobis. Laboriosam consequuntur autem vero magni veniam.
Nemo optio fugit voluptatum. Neque nostrum fuga veritatis.",http://www.char.info/,Manjari Mangal,Iusto autem molestias dolor dolores numquam maiores. Nisi iste magnam dicta quos nisi deleniti ipsum. Quibusdam maxime excepturi accusamus tempore beatae. Ipsa non dicta minima eum ducimus odit.,Denied,34962.97,,3 or more,Yes,,,Denied,No Fraud Detected,"Deserunt nobis impedit consequatur nostrum. Fugit nulla molestias nostrum harum aliquid.
Libero eligendi voluptate unde. Suscipit nostrum molestiae."
4193,Jivika Issac,"78/45, Edwin Circle, Buxar 748953",2962349826,saxenashlok@example.org,45128,Home,Purab Sheth,+918993118849,2005-07-08,Ulhasnagar,Dolor rerum distinctio animi blanditiis deleniti. Velit ex sapiente laborum earum perspiciatis amet nulla. Dolores incidunt error molestiae deserunt illum necessitatibus.,19131.53,,Dolorem quas dignissimos eaque earum amet. Natus officia adipisci excepturi ratione vero.,,Mannat Saini,"Ea consectetur voluptate. Aperiam ad iste. Quidem necessitatibus nisi corporis quaerat dolore.
Facilis quidem mollitia itaque fuga sit modi.
Facere beatae accusamus eius non qui omnis.",Approved,39612.64,Yes,None,No,No,,Under Review,Fraud Detected,Modi accusamus doloremque quibusdam ea illo. Tempore velit tenetur fuga. Nulla labore natus exercitationem libero quo facilis. Illum laborum a at.
5258,Ishita Sawhney,"82, Vala Marg, Tiruchirappalli-112430",8694602254,navyaagrawal@example.org,31827,Auto,Badal Sridhar,2453187303,1995-08-21,Nanded,Sapiente incidunt eos itaque nam eveniet. Doloribus laboriosam reprehenderit. Provident neque sit tempore veritatis dolorem.,48983.07,1872,"Perferendis nihil consequuntur repudiandae quia voluptatibus soluta. Itaque alias optio facere quas.
Laudantium eveniet totam animi. Expedita quas neque alias.",,Dishani Balasubramanian,Maiores blanditiis est placeat. Deserunt rem reiciendis temporibus voluptate asperiores.,Under Investigation,20629.32,Yes,None,No,,Soluta nulla libero voluptas. Impedit ullam libero numquam soluta harum. Iure dicta fugiat consequuntur.,Denied,No Fraud Detected,"Ea nulla aspernatur recusandae accusantium. Iure sunt alias assumenda.
Rerum eius aspernatur exercitationem iure. Dignissimos voluptatum voluptates suscipit sit."
1689,Zara Kala,"94/169, Joshi Road, Kumbakonam 459318",+914244951139,abhavsar@example.net,75416,Home,Mamooty Sule,1924554621,1967-12-14,Bhind,"Facere quae cumque doloremque libero. Placeat quia tempore natus atque. Doloribus harum reiciendis inventore.
Sapiente dicta nisi quia alias.",45327.22,8808,Soluta tenetur eius sequi id unde id. Accusamus voluptas culpa ea nobis illo cum.,https://www.varghese-ratta.com/,Kimaya Samra,Hic ipsa reprehenderit possimus vel vel aliquam. Labore modi dicta animi qui. Natus aspernatur facere atque amet. Expedita iusto veritatis et in.,Denied,,,3 or more,Yes,,"Aperiam ipsum commodi. Laborum fuga impedit tempora atque.
Quae adipisci quos eaque aspernatur illo.",Under Review,Fraud Detected,Dignissimos vitae harum expedita doloribus consectetur. Fugit dolor fugit consequatur unde aut cupiditate rerum.
9803,Shayak Tailor,"66/10, Goel Nagar, Proddatur 834555",+918451611092,krishnaamani@example.com,19235,Health,Raghav Krish,+919820887722,1963-05-11,Rajpur Sonarpur,Quisquam laudantium suscipit fugit corporis deserunt in. Earum alias aspernatur sit neque corrupti aliquam.,20933.09,,,https://butala-balakrishnan.com/,Dharmajan Virk,"Neque accusantium sed iure minima consequatur ea. Sint ducimus excepturi odit animi ullam.
Quidem temporibus laborum a totam eveniet expedita. Velit adipisci quod ullam rem fugit.",Denied,,No,3 or more,No,Yes,"Quis possimus nobis quidem. Commodi porro molestiae cum.
Nobis suscipit dolorem porro tempore quis. Itaque necessitatibus minima. Quod ab quaerat exercitationem.",Under Review,,Animi quaerat sapiente sit tempore voluptas corporis quas. Nobis enim esse praesentium in. Temporibus deleniti totam quo inventore eos laudantium laboriosam.
6889,Adah Borra,"H.No. 362, Ganguly Zila, Raurkela Industrial Township-135194",333337104,amira58@example.net,11209,Home,Advika Chowdhury,+913611287498,1995-11-06,Shimoga,"Ea explicabo velit quos sint. Minima molestias minima ducimus ullam.
Eum provident officia repudiandae ullam.",1935.66,,"Illo ab recusandae atque delectus. At repudiandae nostrum officiis nam facere accusantium quas.
Optio culpa doloribus. Rerum iste molestiae illum aliquid quia voluptas.",https://butala.com/,Uthkarsh Bakshi,Dolorum numquam harum repellendus doloribus minus. Dicta minus qui provident. A asperiores ipsum debitis officia dolorum temporibus facilis.,Approved,2037.98,Yes,2,Yes,No,,Denied,Fraud Detected,Dolor maxime odio sit dolorum architecto tempore ab. Corporis dolore non illo iure velit.
1385,Vardaniya Kale,"61, Sawhney Street, Danapur 826266",+915392862040,raupihu@example.org,44853,Auto,Arnav Kuruvilla,6035458608,1974-01-01,Ambarnath,"Quasi consequatur ipsa libero eius. Praesentium distinctio cupiditate expedita veniam. Veniam harum neque nam a.
Suscipit delectus veniam dolore. Nobis eligendi assumenda maxime atque illum modi non.",18432.86,,Modi recusandae expedita sint totam tempore sit. Expedita similique officia esse labore rerum. Eaque velit aut minus.,,Hrishita Gulati,"Nobis laudantium tenetur debitis beatae enim. Earum ducimus fugiat atque doloremque architecto.
Quidem nostrum enim sint. Beatae quisquam amet explicabo voluptates.",Under Investigation,,Yes,None,No,Yes,,Under Review,No Fraud Detected,Sint dolores aliquam nobis. Odit repellendus repellendus. Rerum natus neque aperiam sit recusandae consectetur.
